system,em,loose_em,f1,loose_f1,latency_mean,latency_median,tokens_mean,truncated_ratio,answer_in_context_rate,correct_rate,idk_rate,wrong_rate,coverage,em_answered
slm_only,0.06428571428571428,0.22285714285714286,0.14482622117893162,0.21288557053958673,6.405623651232038,9.344363451004028,,,,0.21857142857142858,0.24,0.5414285714285714,0.76,0.287593984962406
vector,0.31,0.5471428571428572,0.4567955442344236,0.5149551926478314,3.766257358619145,2.2040330171585083,853.3085714285714,0.0,0.78,0.5328571428571428,0.1657142857142857,0.3014285714285715,0.8342857142857143,0.6386986301369862
local,0.19142857142857142,0.58,0.3494839060283585,0.38189410330635576,1.8290912321635655,1.3153823614120483,2520.5714285714284,0.0,0.7228571428571429,0.5728571428571428,0.07857142857142857,0.3485714285714286,0.9214285714285715,0.6217054263565891
global,0.055714285714285716,0.21714285714285714,0.1035609883204986,0.21062237631388572,4.35461968251637,2.2960278987884526,3008.597142857143,0.0,0.16285714285714287,0.19428571428571428,0.43857142857142856,0.36714285714285716,0.5614285714285714,0.34605597964376594
llm,0.2842857142857143,0.5242857142857142,0.45412386423100704,0.5121750352821781,0.8694034307343619,0.7702076435089111,,,,0.5214285714285715,0.15571428571428572,0.32285714285714284,0.8442857142857143,0.6175972927241963
